"Enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"267"	"up_ASG1_vs_ASG0"	"GO"	"44342"	"type B pancreatic cell proliferation "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ADK_MOUSE"
"268"	"up_ASG1_vs_ASG0"	"GO"	"97512"	"cardiac myofibril "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DESM_MOUSE"
"272"	"up_ASG1_vs_ASG0"	"GO"	"5916"	"fascia adherens "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DESM_MOUSE"
"273"	"up_ASG1_vs_ASG0"	"GO"	"5921"	"gap junction "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DESM_MOUSE"
"278"	"up_ASG1_vs_ASG0"	"GO"	"45098"	"type III intermediate filament "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DESM_MOUSE"
"282"	"up_ASG1_vs_ASG0"	"GO"	"45109"	"intermediate filament organization "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DESM_MOUSE"
"283"	"up_ASG1_vs_ASG0"	"GO"	"42805"	"actinin binding "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"CSRP1_MOUSE"
"284"	"up_ASG1_vs_ASG0"	"GO"	"8307"	"structural constituent of muscle "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"CSRP1_MOUSE"
"294"	"up_ASG1_vs_ASG0"	"GO"	"46581"	"intercellular canaliculus "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"295"	"up_ASG1_vs_ASG0"	"GO"	"71438"	"invadopodium membrane "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"298"	"up_ASG1_vs_ASG0"	"GO"	"45499"	"chemorepellent activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"311"	"up_ASG1_vs_ASG0"	"GO"	"35641"	"locomotory exploration behavior "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"316"	"up_ASG1_vs_ASG0"	"GO"	"36343"	"psychomotor behavior "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"317"	"up_ASG1_vs_ASG0"	"GO"	"33632"	"regulation of cell-cell adhesion mediated by integrin "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"321"	"up_ASG1_vs_ASG0"	"GO"	"31295"	"T cell costimulation "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DPP4_MOUSE"
"327"	"up_ASG1_vs_ASG0"	"GO"	"30868"	"smooth endoplasmic reticulum membrane "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ALDOB_MOUSE"
"331"	"up_ASG1_vs_ASG0"	"GO"	"4332"	"fructose-bisphosphate aldolase activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ALDOB_MOUSE"
"333"	"up_ASG1_vs_ASG0"	"GO"	"61624"	"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ALDOB_MOUSE"
"335"	"up_ASG1_vs_ASG0"	"GO"	"61625"	"glycolytic process through fructose-1-phosphate "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ALDOB_MOUSE"
"341"	"up_ASG1_vs_ASG0"	"GO"	"70072"	"vacuolar proton-transporting V-type ATPase complex assembly "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ALDOB_MOUSE"
"346"	"up_ASG1_vs_ASG0"	"GO"	"4190"	"aspartic-type endopeptidase activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"A0A1B0GT66_MOUSE"
"351"	"up_ASG1_vs_ASG0"	"GO"	"45821"	"positive regulation of glycolytic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"E9Q8N8_MOUSE"
"371"	"up_ASG1_vs_ASG0"	"GO"	"32414"	"positive regulation of ion transmembrane transporter activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"A0A0R4J1V0_MOUSE"
"199"	"up_ASG1_vs_ASG0"	"GO"	"44297"	"cell body "	"2/38"	"21/2150"	5.26315789473684	0.976744186046512	0.0590562469681836	1	5.38847117794486	"GLNA_MOUSE;DPYL3_MOUSE"
"14"	"up_ASG1_vs_ASG0"	"GO"	"122"	"negative regulation of transcription by RNA polymerase II "	"3/38"	"51/2150"	7.89473684210526	2.37209302325581	0.065233378479275	1	3.328173374613	"UTER_MOUSE;PAWR_MOUSE;F16P1_MOUSE"
"7"	"up_ASG1_vs_ASG0"	"GO"	"19834"	"phospholipase A2 inhibitor activity "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"UTER_MOUSE"
"9"	"up_ASG1_vs_ASG0"	"GO"	"32689"	"negative regulation of interferon-gamma production "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"UTER_MOUSE"
"36"	"up_ASG1_vs_ASG0"	"GO"	"46914"	"transition metal ion binding "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"RIDA_MOUSE"
"66"	"up_ASG1_vs_ASG0"	"GO"	"6998"	"nuclear envelope organization "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"LMNA_MOUSE"
"77"	"up_ASG1_vs_ASG0"	"GO"	"32204"	"regulation of telomere maintenance "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"LMNA_MOUSE"
"82"	"up_ASG1_vs_ASG0"	"GO"	"151"	"ubiquitin ligase complex "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"UB2V1_MOUSE"
"87"	"up_ASG1_vs_ASG0"	"GO"	"6301"	"postreplication repair "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"UB2V1_MOUSE"
"111"	"up_ASG1_vs_ASG0"	"GO"	"7595"	"lactation "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"RLA0_MOUSE"
"120"	"up_ASG1_vs_ASG0"	"GO"	"8430"	"selenium binding "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"SBP1_MOUSE"
"137"	"up_ASG1_vs_ASG0"	"GO"	"97190"	"apoptotic signaling pathway "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"PAWR_MOUSE"
"144"	"up_ASG1_vs_ASG0"	"GO"	"10719"	"negative regulation of epithelial to mesenchymal transition "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"PAWR_MOUSE"
"170"	"up_ASG1_vs_ASG0"	"GO"	"6002"	"fructose 6-phosphate metabolic process "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"F16P1_MOUSE"
"183"	"up_ASG1_vs_ASG0"	"GO"	"86"	"G2/M transition of mitotic cell cycle "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"NEST_MOUSE"
"231"	"up_ASG1_vs_ASG0"	"GO"	"16812"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"DPYL3_MOUSE"
"248"	"up_ASG1_vs_ASG0"	"GO"	"30317"	"flagellated sperm motility "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"DHSO_MOUSE"
"264"	"up_ASG1_vs_ASG0"	"GO"	"10613"	"positive regulation of cardiac muscle hypertrophy "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"ADK_MOUSE"
"304"	"up_ASG1_vs_ASG0"	"GO"	"8236"	"serine-type peptidase activity "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"DPP4_MOUSE"
"307"	"up_ASG1_vs_ASG0"	"GO"	"1662"	"behavioral fear response "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"DPP4_MOUSE"
"326"	"up_ASG1_vs_ASG0"	"GO"	"30867"	"rough endoplasmic reticulum membrane "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"ALDOB_MOUSE"
"329"	"up_ASG1_vs_ASG0"	"GO"	"70061"	"fructose binding "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"ALDOB_MOUSE"
"336"	"up_ASG1_vs_ASG0"	"GO"	"61615"	"glycolytic process through fructose-6-phosphate "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"ALDOB_MOUSE"
"354"	"up_ASG1_vs_ASG0"	"GO"	"36376"	"sodium ion export across plasma membrane "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"E9Q8N8_MOUSE"
"375"	"up_ASG1_vs_ASG0"	"GO"	"30478"	"actin cap "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"Q8VCQ8_MOUSE"
"379"	"up_ASG1_vs_ASG0"	"GO"	"17022"	"myosin binding "	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"Q8VCQ8_MOUSE"
"308"	"up_ASG1_vs_ASG0"	"GO"	"7155"	"cell adhesion "	"2/38"	"23/2150"	5.26315789473684	1.06976744186047	0.0685345311434547	1	4.91990846681922	"DPP4_MOUSE;Q3UF75_MOUSE"
"16"	"up_ASG1_vs_ASG0"	"GO"	"43488"	"regulation of mRNA stability "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"UTER_MOUSE"
"46"	"up_ASG1_vs_ASG0"	"GO"	"33993"	"response to lipid "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"RIDA_MOUSE"
"67"	"up_ASG1_vs_ASG0"	"GO"	"6997"	"nucleus organization "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"LMNA_MOUSE"
"88"	"up_ASG1_vs_ASG0"	"GO"	"70534"	"protein K63-linked ubiquitination "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"UB2V1_MOUSE"
"121"	"up_ASG1_vs_ASG0"	"GO"	"50873"	"brown fat cell differentiation "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"SBP1_MOUSE"
"142"	"up_ASG1_vs_ASG0"	"GO"	"30889"	"negative regulation of B cell proliferation "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"PAWR_MOUSE"
"147"	"up_ASG1_vs_ASG0"	"GO"	"50860"	"negative regulation of T cell receptor signaling pathway "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"PAWR_MOUSE"
"151"	"up_ASG1_vs_ASG0"	"GO"	"2000774"	"positive regulation of cellular senescence "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"PAWR_MOUSE"
"164"	"up_ASG1_vs_ASG0"	"GO"	"1085"	"RNA polymerase II transcription factor binding "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"F16P1_MOUSE"
"176"	"up_ASG1_vs_ASG0"	"GO"	"6111"	"regulation of gluconeogenesis "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"F16P1_MOUSE"
"178"	"up_ASG1_vs_ASG0"	"GO"	"5882"	"intermediate filament "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"NEST_MOUSE"
"217"	"up_ASG1_vs_ASG0"	"GO"	"50679"	"positive regulation of epithelial cell proliferation "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"GLNA_MOUSE"
"225"	"up_ASG1_vs_ASG0"	"GO"	"42254"	"ribosome biogenesis "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"GLNA_MOUSE"
"238"	"up_ASG1_vs_ASG0"	"GO"	"51491"	"positive regulation of filopodium assembly "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"DPYL3_MOUSE"
"270"	"up_ASG1_vs_ASG0"	"GO"	"43292"	"contractile fiber "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"DESM_MOUSE"
"300"	"up_ASG1_vs_ASG0"	"GO"	"8239"	"dipeptidyl-peptidase activity "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"DPP4_MOUSE"
"340"	"up_ASG1_vs_ASG0"	"GO"	"10043"	"response to zinc ion "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"ALDOB_MOUSE"
"353"	"up_ASG1_vs_ASG0"	"GO"	"42391"	"regulation of membrane potential "	"1/38"	"4/2150"	2.63157894736842	0.186046511627907	0.0839099923128664	1	14.1447368421053	"E9Q8N8_MOUSE"
"71"	"up_ASG1_vs_ASG0"	"GO"	"45669"	"positive regulation of osteoblast differentiation "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"LMNA_MOUSE"
"73"	"up_ASG1_vs_ASG0"	"GO"	"34504"	"protein localization to nucleus "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"LMNA_MOUSE"
"93"	"up_ASG1_vs_ASG0"	"GO"	"16310"	"phosphorylation "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"XYLB_MOUSE"
"112"	"up_ASG1_vs_ASG0"	"GO"	"10269"	"response to selenium ion "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"RLA0_MOUSE"
"145"	"up_ASG1_vs_ASG0"	"GO"	"48147"	"negative regulation of fibroblast proliferation "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"PAWR_MOUSE"
"158"	"up_ASG1_vs_ASG0"	"GO"	"32516"	"positive regulation of phosphoprotein phosphatase activity "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"PAWR_MOUSE"
"184"	"up_ASG1_vs_ASG0"	"GO"	"43086"	"negative regulation of catalytic activity "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"NEST_MOUSE"
"218"	"up_ASG1_vs_ASG0"	"GO"	"32024"	"positive regulation of insulin secretion "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"GLNA_MOUSE"
"256"	"up_ASG1_vs_ASG0"	"GO"	"31667"	"response to nutrient levels "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"DHSO_MOUSE"
"275"	"up_ASG1_vs_ASG0"	"GO"	"45111"	"intermediate filament cytoskeleton "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"DESM_MOUSE"
"296"	"up_ASG1_vs_ASG0"	"GO"	"31258"	"lamellipodium membrane "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"DPP4_MOUSE"
"309"	"up_ASG1_vs_ASG0"	"GO"	"43542"	"endothelial cell migration "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"DPP4_MOUSE"
"320"	"up_ASG1_vs_ASG0"	"GO"	"42110"	"T cell activation "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"DPP4_MOUSE"
"349"	"up_ASG1_vs_ASG0"	"GO"	"5452"	"inorganic anion exchanger activity "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"E9Q8N8_MOUSE"
"365"	"up_ASG1_vs_ASG0"	"GO"	"31528"	"microvillus membrane "	"1/38"	"5/2150"	2.63157894736842	0.232558139534884	0.0998492873184117	1	11.3157894736842	"A0A0R4J1V0_MOUSE"
"14100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu00051"	"Fructose and mannose metabolism - Mus musculus (mouse)"	"3/38"	"11/2150"	7.89473684210526	0.511627906976744	0.00154051615489228	0.0400534200271993	15.4306220095694	"F16P1_MOUSE;DHSO_MOUSE;ALDOB_MOUSE"
"2100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu00040"	"Pentose and glucuronate interconversions - Mus musculus (mouse)"	"2/38"	"7/2150"	5.26315789473684	0.325581395348837	0.00978488165811112	0.254406923110889	16.1654135338346	"XYLB_MOUSE;DHSO_MOUSE"
"6100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Mus musculus (mouse)"	"2/38"	"9/2150"	5.26315789473684	0.418604651162791	0.0146254091460934	0.380260637798428	12.5730994152047	"DESM_MOUSE;LMNA_MOUSE"
"5100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu05410"	"Hypertrophic cardiomyopathy (HCM) - Mus musculus (mouse)"	"2/38"	"10/2150"	5.26315789473684	0.465116279069767	0.0173597408861998	0.451353263041195	11.3157894736842	"DESM_MOUSE;LMNA_MOUSE"
"7100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu05414"	"Dilated cardiomyopathy (DCM) - Mus musculus (mouse)"	"2/38"	"11/2150"	5.26315789473684	0.511627906976744	0.0202933213374803	0.527626354774488	10.2870813397129	"DESM_MOUSE;LMNA_MOUSE"
"15100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu00030"	"Pentose phosphate pathway - Mus musculus (mouse)"	"2/38"	"14/2150"	5.26315789473684	0.651162790697674	0.0302168541425922	0.785638207707398	8.08270676691729	"F16P1_MOUSE;ALDOB_MOUSE"
"2010"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu00910"	"Nitrogen metabolism - Mus musculus (mouse)"	"1/38"	"3/2150"	2.63157894736842	0.13953488372093	0.0676960098759259	1	18.859649122807	"GLNA_MOUSE"
"9100"	"up_ASG1_vs_ASG0"	"KEGG"	"path:mmu00010"	"Glycolysis / Gluconeogenesis - Mus musculus (mouse)"	"2/38"	"28/2150"	5.26315789473684	1.30232558139535	0.0941851684518809	1	4.04135338345865	"F16P1_MOUSE;ALDOB_MOUSE"
"2101"	"up_WTG0_vs_ASG0"	"GO"	"5739"	"mitochondrion "	"145/263"	"452/2150"	55.1330798479088	21.0232558139535	2.2774989955548e-29	3.3000960445589e-26	2.62248056798681	"ACDSB_MOUSE;CHDH_MOUSE;ACOT2_MOUSE;CH10_MOUSE;CLPP_MOUSE;BPHL_MOUSE;AMACR_MOUSE;ATP5E_MOUSE;NDUS6_MOUSE;NDUF2_MOUSE;RT34_MOUSE;MUTA_MOUSE;ISC2A_MOUSE;PROD_MOUSE;IPYR2_MOUSE;RM53_MOUSE;IDHC_MOUSE;PTGR3_MOUSE;THIM_MOUSE;VATE1_MOUSE;SUCA_MOUSE;QORL2_MOUSE;SARDH_MOUSE;THIKB_MOUSE;OAT_MOUSE;OXSM_MOUSE;ODB2_MOUSE;SSDH_MOUSE;PGES2_MOUSE;ACADM_MOUSE;ODP2_MOUSE;IDHP_MOUSE;NIT2_MOUSE;ETFA_MOUSE;GCST_MOUSE;LYRM4_MOUSE;MTU1_MOUSE;ODPA_MOUSE;ODBB_MOUSE;ODPB_MOUSE;LETM1_MOUSE;MIRO2_MOUSE;GATM_MOUSE;LACB2_MOUSE;IVD_MOUSE;AFG32_MOUSE;GRP75_MOUSE;IDHG1_MOUSE;MOT1_MOUSE;KAD2_MOUSE;3HIDH_MOUSE;MECR_MOUSE;MIC19_MOUSE;MSRA_MOUSE;NDUA7_MOUSE;NDUA6_MOUSE;MCCA_MOUSE;MITOS_MOUSE;GLNA_MOUSE;AADAT_MOUSE;MIC60_MOUSE;MMSA_MOUSE;ACADS_MOUSE;L2HDH_MOUSE;LDHD_MOUSE;MCEE_MOUSE;MDHM_MOUSE;KAD4_MOUSE;KBL_MOUSE;KEG1_MOUSE;LONM_MOUSE;HCDH_MOUSE;HSDL2_MOUSE;LACTB_MOUSE;KAD3_MOUSE;GPX1_MOUSE;GLYM_MOUSE;GABT_MOUSE;HIBCH_MOUSE;ATPA_MOUSE;ETHE1_MOUSE;HINT2_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;HYPDH_MOUSE;FAHD1_MOUSE;GLYAT_MOUSE;AL9A1_MOUSE;AGT2_MOUSE;COQ3_MOUSE;HAOX2_MOUSE;EFTU_MOUSE;GAL3A_MOUSE;DHSO_MOUSE;ECHD2_MOUSE;ACO13_MOUSE;ARK72_MOUSE;DECR_MOUSE;F210A_MOUSE;C1TC_MOUSE;CISY_MOUSE;TIM8A_MOUSE;EFGM_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ACON_MOUSE;ACSF3_MOUSE;ETFB_MOUSE;ECHP_MOUSE;DLDH_MOUSE;ACD10_MOUSE;ACOX1_MOUSE;ATPB_MOUSE;ADX_MOUSE;DHRS4_MOUSE;EFTS_MOUSE;CX6B1_MOUSE;AASS_MOUSE;CPT2_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CH60_MOUSE;COQ8A_MOUSE;CATA_MOUSE;CLYBL_MOUSE;COQ9_MOUSE;COXM1_MOUSE;AL4A1_MOUSE;PCCA_MOUSE;RM46_MOUSE;PCKGC_MOUSE;SUOX_MOUSE;SUCB2_MOUSE;SCOT1_MOUSE;THIL_MOUSE;TIM9_MOUSE;SUCB1_MOUSE;THTR_MOUSE;TIM16_MOUSE;SLIRP_MOUSE;F7ARZ1_MOUSE;Z4YK42_MOUSE;Q91VA7_MOUSE;Q99N15_MOUSE;A0A0A0MQ68_MOUSE"
"1996"	"up_WTG0_vs_ASG0"	"GO"	"5759"	"mitochondrial matrix "	"41/263"	"80/2150"	15.5893536121673	3.72093023255814	2.50128611157427e-12	3.62436357567112e-09	4.18963878326996	"ACDSB_MOUSE;ACOT2_MOUSE;CH10_MOUSE;CLPP_MOUSE;MUTA_MOUSE;PROD_MOUSE;THIM_MOUSE;SARDH_MOUSE;OAT_MOUSE;ACADM_MOUSE;LACB2_MOUSE;IVD_MOUSE;GRP75_MOUSE;MCCA_MOUSE;ACADS_MOUSE;MDHM_MOUSE;KAD4_MOUSE;LONM_MOUSE;HCDH_MOUSE;KAD3_MOUSE;GLYM_MOUSE;GABT_MOUSE;ETHE1_MOUSE;ACSM5_MOUSE;CISY_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ETFB_MOUSE;DLDH_MOUSE;ADX_MOUSE;EFTS_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CH60_MOUSE;AL4A1_MOUSE;PCCA_MOUSE;SCOT1_MOUSE;THIL_MOUSE;THTR_MOUSE;TIM16_MOUSE;A0A0R4J083_MOUSE"
"7110"	"up_WTG0_vs_ASG0"	"GO"	"5634"	"nucleus "	"21/263"	"442/2150"	7.98479087452472	20.5581395348837	1.92450767208621e-07	0.000278861161685292	0.388400461091134	"SPTB2_MOUSE;ISC2A_MOUSE;UB2V1_MOUSE;NDRG1_MOUSE;PGES2_MOUSE;F16P1_MOUSE;KAD2_MOUSE;MECR_MOUSE;MIC19_MOUSE;GPX1_MOUSE;GLYM_MOUSE;ATPA_MOUSE;ACO13_MOUSE;DLDH_MOUSE;DHRS4_MOUSE;CSRP2_MOUSE;ARLY_MOUSE;CPSF5_MOUSE;ALDOB_MOUSE;SLIRP_MOUSE;A3KGL9_MOUSE"
"5101"	"up_WTG0_vs_ASG0"	"GO"	"50660"	"flavin adenine dinucleotide binding "	"19/263"	"30/2150"	7.22433460076046	1.3953488372093	2.48805126384912e-07	0.000360518628131738	5.17743979721166	"ACDSB_MOUSE;CHDH_MOUSE;SARDH_MOUSE;ACADM_MOUSE;ETFA_MOUSE;IVD_MOUSE;ACADS_MOUSE;LDHD_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;ACOX2_MOUSE;FMO1_MOUSE;DLDH_MOUSE;ACD10_MOUSE;ACOX1_MOUSE;A0A0R4J083_MOUSE;B1AU25_MOUSE;D3YTT4_MOUSE;A0A0A0MQ68_MOUSE"
"1357"	"up_WTG0_vs_ASG0"	"GO"	"3723"	"RNA binding "	"1/263"	"150/2150"	0.380228136882129	6.97674418604651	5.33692717741958e-07	0.000773320748008097	0.0544993662864385	"SLIRP_MOUSE"
"2361"	"up_WTG0_vs_ASG0"	"GO"	"6635"	"fatty acid beta-oxidation "	"16/263"	"26/2150"	6.08365019011407	1.2093023255814	3.05709195793456e-06	0.00442972624704718	5.03071073413279	"THIM_MOUSE;THIKB_MOUSE;ACADM_MOUSE;HCDH_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;ACOX2_MOUSE;ECHD2_MOUSE;DECR_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ECHP_MOUSE;ACOX1_MOUSE;CPT2_MOUSE;BDH2_MOUSE;THIL_MOUSE"
"2271"	"up_WTG0_vs_ASG0"	"GO"	"6099"	"tricarboxylic acid cycle "	"14/263"	"21/2150"	5.32319391634981	0.976744186046512	6.64469122274835e-06	0.00962815758176236	5.44993662864385	"IDHC_MOUSE;SUCA_MOUSE;ODP2_MOUSE;IDHP_MOUSE;ODPA_MOUSE;ODPB_MOUSE;IDHG1_MOUSE;MDHM_MOUSE;CISY_MOUSE;ACON_MOUSE;SUCB2_MOUSE;SUCB1_MOUSE;Z4YJV4_MOUSE;Q91VA7_MOUSE"
